,epoch,low,high,open,close,volume,datetime
19,1610013600,972.95,983.64,983.02,975.1,438.31779606,2021-01-07 10:00:00+00:00
20,1610014500,970.51,977.57,975.55,971.89,558.54422902,2021-01-07 10:15:00+00:00
21,1610015400,968.6,976.91,971.81,969.58,478.77019036,2021-01-07 10:30:00+00:00
22,1610016300,966.97,973.93,969.57,968.07,461.97993929,2021-01-07 10:45:00+00:00
23,1610017200,967.21,975.0,968.07,973.56,486.36650231,2021-01-07 11:00:00+00:00
24,1610018100,970.58,976.34,973.94,972.01,440.59353241,2021-01-07 11:15:00+00:00
25,1610019000,971.26,978.31,971.37,974.05,958.28714299,2021-01-07 11:30:00+00:00
26,1610019900,974.43,984.2,975.15,981.23,1164.16590635,2021-01-07 11:45:00+00:00
27,1610020800,978.79,993.44,981.96,988.45,1748.58466721,2021-01-07 12:00:00+00:00
28,1610021700,980.17,994.9,988.04,992.8,999.85148337,2021-01-07 12:15:00+00:00
29,1610022600,987.72,994.98,991.87,993.26,777.48933398,2021-01-07 12:30:00+00:00
30,1610023500,987.75,1002.0,992.59,1001.1,2412.5328578,2021-01-07 12:45:00+00:00
31,1610024400,995.77,1003.0,1001.16,1001.33,1966.48959385,2021-01-07 13:00:00+00:00
32,1610025300,997.27,1006.0,1000.4,1002.99,1262.79499154,2021-01-07 13:15:00+00:00
33,1610026200,992.77,1002.61,1002.61,997.06,969.83066269,2021-01-07 13:30:00+00:00
34,1610027100,989.58,998.63,996.12,997.72,1020.17968671,2021-01-07 13:45:00+00:00
35,1610028000,994.74,1002.87,997.01,1000.93,1471.84084251,2021-01-07 14:00:00+00:00
36,1610028900,996.0,1002.0,1000.94,999.98,671.18455621,2021-01-07 14:15:00+00:00
37,1610029800,1000.02,1005.89,1000.87,1003.07,1004.07495816,2021-01-07 14:30:00+00:00
38,1610030700,995.0,1003.58,1003.07,1002.15,826.19375592,2021-01-07 14:45:00+00:00
39,1610031600,995.76,1002.88,1001.98,1000.56,782.96534373,2021-01-07 15:00:00+00:00
40,1610032500,997.98,1002.8,1001.12,1000.96,578.45819762,2021-01-07 15:15:00+00:00
41,1610033400,1000.0,1018.31,1000.36,1016.66,2330.06994976,2021-01-07 15:30:00+00:00
42,1610034300,1014.44,1022.29,1017.98,1020.27,1154.29185459,2021-01-07 15:45:00+00:00
43,1610035200,1013.22,1036.21,1022.0,1027.36,2788.01346483,2021-01-07 16:00:00+00:00
44,1610036100,1026.67,1041.41,1027.49,1038.03,1579.22221735,2021-01-07 16:15:00+00:00
45,1610037000,1029.84,1042.85,1038.35,1036.61,2862.33655812,2021-01-07 16:30:00+00:00
46,1610037900,1025.0,1038.23,1036.58,1031.51,1576.32530692,2021-01-07 16:45:00+00:00
47,1610038800,1025.67,1036.8,1031.42,1031.55,1766.21394637,2021-01-07 17:00:00+00:00
48,1610039700,1028.4,1039.19,1030.86,1038.45,520.64719732,2021-01-07 17:15:00+00:00
49,1610040600,1030.53,1039.94,1039.1,1038.16,467.47476695,2021-01-07 17:30:00+00:00
50,1610041500,1032.09,1039.55,1036.79,1036.91,398.67819412,2021-01-07 17:45:00+00:00
51,1610042400,1036.45,1048.0,1037.59,1047.12,2020.31415478,2021-01-07 18:00:00+00:00
52,1610043300,1001.02,1051.11,1047.12,1018.09,4336.47973875,2021-01-07 18:15:00+00:00
53,1610044200,978.7,1027.15,1019.44,978.7,4504.28780371,2021-01-07 18:30:00+00:00
54,1610045100,928.0,1003.36,978.7,998.47,4909.16261441,2021-01-07 18:45:00+00:00
55,1610046000,956.48,998.94,998.51,975.73,4211.25205746,2021-01-07 19:00:00+00:00
56,1610046900,970.01,998.99,975.71,994.14,1739.66154074,2021-01-07 19:15:00+00:00
57,1610047800,990.0,1014.99,995.58,1013.98,1543.39248879,2021-01-07 19:30:00+00:00
58,1610048700,1003.14,1018.66,1014.97,1008.27,2237.76545867,2021-01-07 19:45:00+00:00
59,1610049600,999.0,1014.53,1008.33,1007.57,981.61986411,2021-01-07 20:00:00+00:00
60,1610050500,998.0,1010.23,1008.0,999.01,840.33664635,2021-01-07 20:15:00+00:00
61,1610051400,997.19,1013.65,998.56,1011.5,1180.65302581,2021-01-07 20:30:00+00:00
62,1610052300,1005.62,1016.78,1011.76,1014.77,1342.51540501,2021-01-07 20:45:00+00:00
63,1610053200,1014.01,1025.77,1015.04,1024.81,1896.22952626,2021-01-07 21:00:00+00:00
64,1610054100,1022.0,1028.34,1024.81,1024.0,1409.76802995,2021-01-07 21:15:00+00:00
65,1610055000,1024.05,1032.78,1024.13,1026.19,1557.66436891,2021-01-07 21:30:00+00:00
66,1610055900,1011.01,1028.87,1024.81,1021.48,1374.26892949,2021-01-07 21:45:00+00:00
67,1610056800,1011.99,1023.0,1020.63,1022.15,1019.82251371,2021-01-07 22:00:00+00:00
68,1610057700,1016.42,1022.78,1021.29,1020.65,458.31208665,2021-01-07 22:15:00+00:00
69,1610058600,1017.97,1025.24,1021.5,1019.7,425.96642391,2021-01-07 22:30:00+00:00
70,1610059500,1007.48,1024.01,1020.26,1014.38,850.63971965,2021-01-07 22:45:00+00:00
71,1610060400,985.28,1014.82,1013.58,991.83,2030.88975019,2021-01-07 23:00:00+00:00
72,1610061300,978.01,997.3,992.82,985.23,2167.38393493,2021-01-07 23:15:00+00:00
73,1610062200,982.63,998.89,985.94,985.35,1005.6823038,2021-01-07 23:30:00+00:00
74,1610063100,983.41,999.97,986.1,997.38,902.42740963,2021-01-07 23:45:00+00:00
75,1610064000,989.33,1003.48,998.34,1001.46,582.35154238,2021-01-08 00:00:00+00:00
76,1610064900,991.15,1003.47,1001.91,993.39,351.99498129,2021-01-08 00:15:00+00:00
77,1610065800,986.76,997.49,993.47,988.17,231.96514426,2021-01-08 00:30:00+00:00
78,1610066700,961.03,990.71,988.28,965.45,1276.12259258,2021-01-08 00:45:00+00:00
79,1610067600,959.49,978.43,966.11,969.49,1263.91172646,2021-01-08 01:00:00+00:00
80,1610068500,959.49,977.96,969.67,960.9,712.13024961,2021-01-08 01:15:00+00:00
81,1610069400,945.16,968.86,963.69,952.64,2225.23872344,2021-01-08 01:30:00+00:00
82,1610070300,948.87,967.02,953.29,965.79,505.17488411,2021-01-08 01:45:00+00:00
83,1610071200,948.4,967.51,965.64,949.63,1088.74121799,2021-01-08 02:00:00+00:00
84,1610072100,890.0,953.69,949.16,921.84,4135.29720517,2021-01-08 02:15:00+00:00
85,1610073000,870.42,928.14,921.3,874.95,2855.05859329,2021-01-08 02:30:00+00:00
86,1610073900,870.42,918.6,872.64,908.31,2159.24701196,2021-01-08 02:45:00+00:00
87,1610074800,902.26,939.19,908.11,931.37,1733.46941766,2021-01-08 03:00:00+00:00
88,1610075700,924.0,939.41,931.79,936.21,798.93479529,2021-01-08 03:15:00+00:00
89,1610076600,931.11,945.09,936.17,938.41,777.00446148,2021-01-08 03:30:00+00:00
90,1610077500,931.45,947.53,938.03,939.95,447.92850935,2021-01-08 03:45:00+00:00
91,1610078400,932.94,959.87,937.81,949.18,659.19508432,2021-01-08 04:00:00+00:00
92,1610079300,941.51,956.02,949.28,954.8,423.74391551,2021-01-08 04:15:00+00:00
93,1610080200,942.92,960.88,954.26,958.85,793.83349145,2021-01-08 04:30:00+00:00
94,1610081100,954.09,962.05,959.48,954.4,386.17870779,2021-01-08 04:45:00+00:00
95,1610082000,942.01,954.35,954.28,948.68,448.72130089,2021-01-08 05:00:00+00:00
96,1610082900,937.39,948.52,947.99,945.46,572.43852191,2021-01-08 05:15:00+00:00
97,1610083800,941.86,957.16,944.93,950.3,478.41068722,2021-01-08 05:30:00+00:00
98,1610084700,930.16,950.98,950.0,936.03,1007.06923622,2021-01-08 05:45:00+00:00
99,1610085600,915.23,940.24,936.53,936.58,1368.8449543,2021-01-08 06:00:00+00:00
100,1610086500,932.94,954.31,935.58,953.0,951.29608898,2021-01-08 06:15:00+00:00
101,1610087400,945.96,957.0,953.0,954.32,777.80231984,2021-01-08 06:30:00+00:00
102,1610088300,952.06,965.0,954.5,959.3,843.67844765,2021-01-08 06:45:00+00:00
103,1610089200,953.01,960.66,959.45,955.66,499.37856309,2021-01-08 07:00:00+00:00
